IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"35.232.16.188","afmfe.att.com","AT&T Services, Inc.","afmfe.att.com|afmfe0.att.com|afmfe1.att.com|afmfe10.att.com|afmfe11.att.com|afmfe12.att.com|afmfe13.att.com|afmfe14.att.com|afmfe15.att.com|afmfe16.att.com|afmfe17.att.com|afmfe18.att.com|afmfe19.att.com|afmfe2.att.com|afmfe20.att.com|afmfe21.att.com|afmfe22.att.com|afmfe23.att.com|afmfe24.att.com|afmfe25.att.com|afmfe26.att.com|afmfe27.att.com|afmfe28.att.com|afmfe29.att.com|afmfe3.att.com|afmfe30.att.com|afmfe31.att.com|afmfe32.att.com|afmfe33.att.com|afmfe34.att.com|afmfe35.att.com|afmfe36.att.com|afmfe37.att.com|afmfe38.att.com|afmfe39.att.com|afmfe4.att.com|afmfe40.att.com|afmfe41.att.com|afmfe42.att.com|afmfe43.att.com|afmfe44.att.com|afmfe45.att.com|afmfe46.att.com|afmfe47.att.com|afmfe48.att.com|afmfe49.att.com|afmfe5.att.com|afmfe50.att.com|afmfe51.att.com|afmfe52.att.com|afmfe53.att.com|afmfe54.att.com|afmfe55.att.com|afmfe56.att.com|afmfe57.att.com|afmfe58.att.com|afmfe59.att.com|afmfe6.att.com|afmfe60.att.com|afmfe61.att.com|afmfe62.att.com|afmfe63.att.com|afmfe64.att.com|afmfe65.att.com|afmfe66.att.com|afmfe67.att.com|afmfe68.att.com|afmfe69.att.com|afmfe7.att.com|afmfe70.att.com|afmfe71.att.com|afmfe72.att.com|afmfe73.att.com|afmfe74.att.com|afmfe75.att.com|afmfe76.att.com|afmfe77.att.com|afmfe78.att.com|afmfe79.att.com|afmfe8.att.com|afmfe80.att.com|afmfe81.att.com|afmfe82.att.com|afmfe83.att.com|afmfe84.att.com|afmfe85.att.com|afmfe86.att.com|afmfe87.att.com|afmfe88.att.com|afmfe89.att.com|afmfe9.att.com|afmfe90.att.com|afmfe91.att.com|afmfe92.att.com|afmfe93.att.com|afmfe94.att.com|afmfe95.att.com|afmfe96.att.com|afmfe97.att.com|afmfe98.att.com",""
"35.232.180.26","afmfe.att.com","AT&T Services, Inc.","afmfe.att.com|afmfe0.att.com|afmfe1.att.com|afmfe10.att.com|afmfe11.att.com|afmfe12.att.com|afmfe13.att.com|afmfe14.att.com|afmfe15.att.com|afmfe16.att.com|afmfe17.att.com|afmfe18.att.com|afmfe19.att.com|afmfe2.att.com|afmfe20.att.com|afmfe21.att.com|afmfe22.att.com|afmfe23.att.com|afmfe24.att.com|afmfe25.att.com|afmfe26.att.com|afmfe27.att.com|afmfe28.att.com|afmfe29.att.com|afmfe3.att.com|afmfe30.att.com|afmfe31.att.com|afmfe32.att.com|afmfe33.att.com|afmfe34.att.com|afmfe35.att.com|afmfe36.att.com|afmfe37.att.com|afmfe38.att.com|afmfe39.att.com|afmfe4.att.com|afmfe40.att.com|afmfe41.att.com|afmfe42.att.com|afmfe43.att.com|afmfe44.att.com|afmfe45.att.com|afmfe46.att.com|afmfe47.att.com|afmfe48.att.com|afmfe49.att.com|afmfe5.att.com|afmfe50.att.com|afmfe51.att.com|afmfe52.att.com|afmfe53.att.com|afmfe54.att.com|afmfe55.att.com|afmfe56.att.com|afmfe57.att.com|afmfe58.att.com|afmfe59.att.com|afmfe6.att.com|afmfe60.att.com|afmfe61.att.com|afmfe62.att.com|afmfe63.att.com|afmfe64.att.com|afmfe65.att.com|afmfe66.att.com|afmfe67.att.com|afmfe68.att.com|afmfe69.att.com|afmfe7.att.com|afmfe70.att.com|afmfe71.att.com|afmfe72.att.com|afmfe73.att.com|afmfe74.att.com|afmfe75.att.com|afmfe76.att.com|afmfe77.att.com|afmfe78.att.com|afmfe79.att.com|afmfe8.att.com|afmfe80.att.com|afmfe81.att.com|afmfe82.att.com|afmfe83.att.com|afmfe84.att.com|afmfe85.att.com|afmfe86.att.com|afmfe87.att.com|afmfe88.att.com|afmfe89.att.com|afmfe9.att.com|afmfe90.att.com|afmfe91.att.com|afmfe92.att.com|afmfe93.att.com|afmfe94.att.com|afmfe95.att.com|afmfe96.att.com|afmfe97.att.com|afmfe98.att.com",""
"54.152.234.207","cyberstaging.att.com","AT&T Services, Inc.","cyberstaging.att.com",""
"35.168.128.34","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"35.168.152.185","halo-proxy-shm.att.com","AT&T Services, Inc.","halo-proxy-shm.att.com",""
"35.169.196.30","xaaf-metrics.att.com","AT&T Services, Inc.","xaaf-metrics.att.com",""
"35.170.5.209","id-pp-directvcommercial.att.com","AT&T Services, Inc.","id-pp-directvcommercial.att.com",""
"52.4.28.91","sms.test-e.att.com","AT&T Services, Inc.","sms.test-e.att.com",""
"52.4.98.147","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"52.7.211.142","iotconsole.att.com","AT&T Services, Inc.","iotconsole.att.com|mc.att.com",""
"50.16.7.214","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"50.16.86.107","shm-va-services.stage.att.com","AT&T Services, Inc.","shm-va-services.stage.att.com",""
"18.233.170.171","salesforceabs.test-e.att.com","AT&T Services, Inc.","salesforceabs.test-e.att.com",""
"18.235.174.193","*.phoneclaim.com","","*.proteccionmovil.com.mx|*.claroup.cl|*.proteccionmovil.com.co|*.claroup.co|*.proteccionmovil.com.ec|*.proteccionequiposatt.com.mx|*.protectioncenter.att.com|*.claroup.com.co|*.prepaidprotection.att.com|*.claroup.com|*.renovacionanticipada.com.co|*.proteccionmovil.com.pe|*.phoneclaim.com",""
"107.20.180.189","adip-api-xandr.att.com","AT&T Services, Inc.","adip-api-xandr.att.com",""
"107.22.237.212","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"107.23.192.147","xaaf-metrics.att.com","AT&T Services, Inc.","xaaf-metrics.att.com",""
"3.132.26.116","ewp.att.com","AT&T Services, Inc.","ewp.att.com|ewp-lb-east-1.aws.cloud.att.com|ewp-lb-east-2.aws.cloud.att.com",""
"54.157.7.130","salesforceabs.test-e.att.com","AT&T Services, Inc.","salesforceabs.test-e.att.com",""
"54.159.156.40","nimbus-shm.aws.3pc.att.com","AT&T Services, Inc.","nimbus-shm.aws.3pc.att.com|hnm.web.att.com|myinternetmanager.att.com|myhomenetwork.att.com|apishape-smarthomemanager.att.com",""
"3.89.170.240","salesforceabs.test-e.att.com","AT&T Services, Inc.","salesforceabs.test-e.att.com",""
"3.93.28.54","id-pp-directvcommercial.att.com","AT&T Services, Inc.","id-pp-directvcommercial.att.com",""
"52.43.117.229","pr.att.com","","pr.att.com|www.pr.att.com",""
"3.208.209.121","personalcloud.att.com","AT&T Services, Inc.","personalcloud.att.com",""
"3.209.135.133","aegis.att.com","AT&T Services, Inc.","aegis.att.com",""
"3.211.30.114","adr3-test.att.com","AT&T Services, Inc.","adr3-test.att.com",""
"3.212.148.134","911standalone.uc.att.com","AT&T Services, Inc.","911standalone.uc.att.com",""
"3.212.242.56","sms.att.com","AT&T Services, Inc.","sms.att.com",""
"3.213.161.11","xaaf-metrics.att.com","AT&T Services, Inc.","xaaf-metrics.att.com",""
"3.215.167.227","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"54.187.47.75","pr.att.com","","pr.att.com|www.pr.att.com",""
"54.210.11.157","iotconsole.att.com","AT&T Services, Inc.","iotconsole.att.com|mc.att.com",""
"100.24.154.104","aegis.stage.att.com","AT&T Services, Inc.","aegis.stage.att.com",""
"54.145.239.30","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"54.146.183.90","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"54.69.16.109","xaaf-be-mt-dev.att.com","AT&T Services, Inc.","xaaf-be-mt-dev.att.com",""
"54.69.122.255","amlcaef.att.com","AT&T Services, Inc.","amlcaef.att.com",""
"54.71.205.61","pdmdev.cloud.att.com","AT&T Services, Inc.","pdmdev.cloud.att.com",""
"54.227.32.241","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"3.232.1.248","test-personalcloud.att.com","AT&T Services, Inc.","test-personalcloud.att.com",""
"3.233.83.44","miattweb-pvt.att.com.mx","AT&T Services, Inc.","miattweb-pvt.att.com.mx",""
"3.234.7.182","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"3.234.19.223","adip-api-xandr.test.att.com","AT&T Services, Inc.","adip-api-xandr.test.att.com",""
"3.230.77.44","cybersecurity.att.com","AT&T Services, Inc.","cybersecurity.att.com",""
"52.45.0.209","xaaf-metrics-test.att.com","AT&T Services, Inc.","xaaf-metrics-test.att.com",""
"52.45.157.125","cyberstaging.att.com","AT&T Services, Inc.","cyberstaging.att.com",""
"34.200.49.10","911standalone.uc.att.com","AT&T Services, Inc.","911standalone.uc.att.com",""
"34.200.109.206","adip-api-xandr.att.com","AT&T Services, Inc.","adip-api-xandr.att.com",""
"34.203.71.22","E911portal.att.com","AT&T Services, Inc.","E911portal.att.com",""
"34.204.31.170","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"44.193.107.199","iotconsole.test.att.com","AT&T Services, Inc.","iotconsole.test.att.com|mc.test.att.com",""
"44.193.111.241","miattservices.att.com.mx","AT&T Services, Inc.","miattservices.att.com.mx",""
"44.195.119.0","screenready.att.com","AT&T Services, Inc.","screenready.att.com",""
"3.225.72.66","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"3.227.116.204","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"34.206.122.19","*.phoneclaim.com","","*.proteccionmovil.com.mx|*.claroup.cl|*.proteccionmovil.com.co|*.claroup.co|*.proteccionmovil.com.ec|*.proteccionequiposatt.com.mx|*.protectioncenter.att.com|*.claroup.com.co|*.prepaidprotection.att.com|*.claroup.com|*.renovacionanticipada.com.co|*.proteccionmovil.com.pe|*.phoneclaim.com",""
"34.196.22.19","ewp.att.com","AT&T Services, Inc.","ewp.att.com|ewp-lb-east-1.aws.cloud.att.com|ewp-lb-east-2.aws.cloud.att.com",""
"34.196.52.70","xaaf-metrics-raven.att.com","ATT Services, Inc.","",""
"34.196.186.164","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"34.197.9.88","miattweb.att.com.mx","AT&T Services, Inc.","miattweb.att.com.mx",""
"34.197.50.145","portal-directvcommercial.att.com","AT&T Services, Inc.","portal-directvcommercial.att.com",""
"34.199.207.240","nimbus-shm.aws.3pc.att.com","AT&T Services, Inc.","nimbus-shm.aws.3pc.att.com|hnm.web.att.com|myinternetmanager.att.com|myhomenetwork.att.com|apishape-smarthomemanager.att.com",""
"44.205.52.26","nimbus-shm.aws.3pc.att.com","AT&T Services, Inc.","nimbus-shm.aws.3pc.att.com|hnm.web.att.com|myinternetmanager.att.com|myhomenetwork.att.com|apishape-smarthomemanager.att.com",""
"44.205.156.236","miattservices-pvt.att.com.mx","AT&T Services, Inc.","miattservices-pvt.att.com.mx",""
"44.206.213.149","xaaf.att.com","AT&T Services, Inc.","xaaf.att.com",""
"44.209.67.152","xaaf.att.com","AT&T Services, Inc.","xaaf.att.com",""
"44.210.13.46","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"44.214.201.219","adip-api-xandr.test.att.com","AT&T Services, Inc.","adip-api-xandr.test.att.com",""
"44.200.157.205","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"44.218.104.205","ewp-qa.att.com","AT&T Services, Inc.","ewp-qa.att.com|ewp-qa-lb-east-1.aws.cloud.att.com|ewp-qa-lb-east-2.aws.cloud.att.com",""
"18.224.80.218","nonprod-external-cpop-useast2.aws.cloud.att.com","AT&T Services, Inc.","nonprod-external-cpop-useast2.aws.cloud.att.com",""
"44.216.161.93","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"54.245.72.7","RGDockerRegistry-prod-west.att.com","AT&T Services, Inc.","RGDockerRegistry-prod-west.att.com",""
"3.131.210.127","ewp.att.com","AT&T Services, Inc.","ewp.att.com|ewp-lb-east-1.aws.cloud.att.com|ewp-lb-east-2.aws.cloud.att.com",""
"44.196.87.91","test-personalcloud.att.com","AT&T Services, Inc.","test-personalcloud.att.com",""
"44.197.16.210","xaaf-metrics-raven.att.com","ATT Services, Inc.","",""
"44.198.128.150","personalcloud.att.com","AT&T Services, Inc.","personalcloud.att.com",""
"52.90.38.151","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"35.160.14.203","RGDockerRegistry-prod.att.com","AT&T Services, Inc.","RGDockerRegistry-prod.att.com",""
"52.1.54.215","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"35.165.254.145","securefamily.stage.att.com","AT&T Services, Inc.","securefamily.stage.att.com",""
"35.166.22.184","securefamily.stage.att.com","AT&T Services, Inc.","securefamily.stage.att.com",""
"35.81.7.200","RGManifestServer-dev.att.com","AT&T Services, Inc.","RGManifestServer-dev.att.com",""
"35.82.234.216","xaaf-be-live-test.att.com","AT&T Services, Inc.","xaaf-be-live-test.att.com",""
"18.208.1.185","aegis.stage.att.com","AT&T Services, Inc.","aegis.stage.att.com",""
"18.209.148.6","salesforceabs.test-e.att.com","AT&T Services, Inc.","salesforceabs.test-e.att.com",""
"18.211.251.255","ewp.att.com","AT&T Services, Inc.","ewp.att.com|ewp-lb-east-1.aws.cloud.att.com|ewp-lb-east-2.aws.cloud.att.com",""
"54.188.68.149","securefamilyweb.wireless.att.com","AT&T Services, Inc.","securefamilyweb.wireless.att.com",""
"54.189.98.92","amlcaef-test.att.com","AT&T Services, Inc.","amlcaef-test.att.com",""
"54.189.208.71","RGDockerRegistry-prod-west.att.com","AT&T Services, Inc.","RGDockerRegistry-prod-west.att.com",""
"54.191.236.8","xaaf-be-live-test.att.com","AT&T Services, Inc.","xaaf-be-live-test.att.com",""
"44.224.56.245","xaaf-be-live.att.com","AT&T Services, Inc.","xaaf-be-live.att.com",""
"44.227.156.183","pdm.cloud.att.com","AT&T Services, Inc.","pdm.cloud.att.com",""
"52.200.32.11","adip-api-xandr.att.com","AT&T Services, Inc.","adip-api-xandr.att.com",""
"52.203.118.6","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"34.232.11.23","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"34.232.152.121","sms.att.com","AT&T Services, Inc.","sms.att.com",""
"34.233.73.193","bds-dev-sta.att.com.mx","AT&T Services, Inc.","bds-dev-sta.att.com.mx",""
"34.233.155.165","adip-api-xandr.att.com","AT&T Services, Inc.","adip-api-xandr.att.com",""
"34.235.96.187","halo-proxy-shm.att.com","AT&T Services, Inc.","halo-proxy-shm.att.com",""
"52.32.240.152","RGManifestServer-prod.att.com","AT&T Services, Inc.","RGManifestServer-prod.att.com",""
"52.204.117.16","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"52.204.219.194","id-pp-directvcommercial.att.com","AT&T Services, Inc.","id-pp-directvcommercial.att.com",""
"52.205.80.190","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"52.205.94.161","iotconsole.att.com","AT&T Services, Inc.","iotconsole.att.com|mc.att.com",""
"52.206.246.229","adip-api-xandr.test.att.com","AT&T Services, Inc.","adip-api-xandr.test.att.com",""
"34.236.231.31","screenready.att.com","AT&T Services, Inc.","screenready.att.com",""
"34.228.118.34","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"34.231.24.216","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"44.240.37.243","xaaf-be-live.att.com","AT&T Services, Inc.","xaaf-be-live.att.com",""
"44.240.58.39","xaaf-be-stage-test.att.com","AT&T Services, Inc.","xaaf-be-stage-test.att.com",""
"44.241.53.167","securefamily.stage.att.com","AT&T Services, Inc.","securefamily.stage.att.com",""
"44.241.55.228","RGManifestServer-prod.att.com","AT&T Services, Inc.","RGManifestServer-prod.att.com",""
"44.232.222.139","securefamilyweb.wireless.att.com","AT&T Services, Inc.","securefamilyweb.wireless.att.com",""
"44.235.135.36","li-labs.ha.cloud.att.com","","","135.170.219.168"
"50.19.160.96","xaaf-metrics-test-raven.att.com","ATT Services, Inc.","",""
"44.230.149.86","xaaf-be-live-test.att.com","AT&T Services, Inc.","xaaf-be-live-test.att.com",""
"44.236.79.230","xaaf-be-mt-dev.att.com","AT&T Services, Inc.","xaaf-be-mt-dev.att.com",""
"44.236.151.186","xaaf-be-stage.att.com","AT&T Services, Inc.","xaaf-be-stage.att.com",""
"44.238.36.170","securefamilyweb.wireless.att.com","AT&T Services, Inc.","securefamilyweb.wireless.att.com",""
"44.238.96.133","xaaf-be-stage.att.com","AT&T Services, Inc.","xaaf-be-stage.att.com",""
"44.238.153.5","xaaf-be-live.att.com","AT&T Services, Inc.","xaaf-be-live.att.com",""
"174.129.105.49","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"174.129.208.72","ewp-qa.att.com","AT&T Services, Inc.","ewp-qa.att.com|ewp-qa-lb-east-1.aws.cloud.att.com|ewp-qa-lb-east-2.aws.cloud.att.com",""
"100.20.88.105","amlcaef-test.att.com","AT&T Services, Inc.","amlcaef-test.att.com",""
"54.82.245.149","comrest-directvcommercial.att.com","AT&T Services, Inc.","comrest-directvcommercial.att.com",""
"54.84.161.108","portal-directvcommercial.att.com","AT&T Services, Inc.","portal-directvcommercial.att.com",""
"54.84.169.228","adip-api-xandr.test.att.com","AT&T Services, Inc.","adip-api-xandr.test.att.com",""
"54.84.221.20","xaaf-metrics-ravenl.att.com","AT&T Services, Inc.","",""
"54.85.221.123","portal-directvcommercial.att.com","AT&T Services, Inc.","portal-directvcommercial.att.com",""
"54.85.221.212","sms.att.com","AT&T Services, Inc.","sms.att.com",""
"54.86.106.1","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"34.211.167.165","xaaf-be-stage.att.com","AT&T Services, Inc.","xaaf-be-stage.att.com",""
"54.243.184.73","aegis.att.com","AT&T Services, Inc.","aegis.att.com",""
"34.214.190.222","xaaf-be-mt-dev.att.com","AT&T Services, Inc.","xaaf-be-mt-dev.att.com",""
"52.11.95.71","xaaf-be-stage.att.com","AT&T Services, Inc.","xaaf-be-stage.att.com",""
"34.138.24.181","afmfe.att.com","AT&T Services, Inc.","afmfe.att.com|afmfe0.att.com|afmfe1.att.com|afmfe10.att.com|afmfe11.att.com|afmfe12.att.com|afmfe13.att.com|afmfe14.att.com|afmfe15.att.com|afmfe16.att.com|afmfe17.att.com|afmfe18.att.com|afmfe19.att.com|afmfe2.att.com|afmfe20.att.com|afmfe21.att.com|afmfe22.att.com|afmfe23.att.com|afmfe24.att.com|afmfe25.att.com|afmfe26.att.com|afmfe27.att.com|afmfe28.att.com|afmfe29.att.com|afmfe3.att.com|afmfe30.att.com|afmfe31.att.com|afmfe32.att.com|afmfe33.att.com|afmfe34.att.com|afmfe35.att.com|afmfe36.att.com|afmfe37.att.com|afmfe38.att.com|afmfe39.att.com|afmfe4.att.com|afmfe40.att.com|afmfe41.att.com|afmfe42.att.com|afmfe43.att.com|afmfe44.att.com|afmfe45.att.com|afmfe46.att.com|afmfe47.att.com|afmfe48.att.com|afmfe49.att.com|afmfe5.att.com|afmfe50.att.com|afmfe51.att.com|afmfe52.att.com|afmfe53.att.com|afmfe54.att.com|afmfe55.att.com|afmfe56.att.com|afmfe57.att.com|afmfe58.att.com|afmfe59.att.com|afmfe6.att.com|afmfe60.att.com|afmfe61.att.com|afmfe62.att.com|afmfe63.att.com|afmfe64.att.com|afmfe65.att.com|afmfe66.att.com|afmfe67.att.com|afmfe68.att.com|afmfe69.att.com|afmfe7.att.com|afmfe70.att.com|afmfe71.att.com|afmfe72.att.com|afmfe73.att.com|afmfe74.att.com|afmfe75.att.com|afmfe76.att.com|afmfe77.att.com|afmfe78.att.com|afmfe79.att.com|afmfe8.att.com|afmfe80.att.com|afmfe81.att.com|afmfe82.att.com|afmfe83.att.com|afmfe84.att.com|afmfe85.att.com|afmfe86.att.com|afmfe87.att.com|afmfe88.att.com|afmfe89.att.com|afmfe9.att.com|afmfe90.att.com|afmfe91.att.com|afmfe92.att.com|afmfe93.att.com|afmfe94.att.com|afmfe95.att.com|afmfe96.att.com|afmfe97.att.com|afmfe98.att.com",""
